SITENAME	SITEID	Local Authority	Filename including path
Broomside Scrambles	4.42	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Broomside Scrambles -4.42.pdf
Lower Browney Valley	4.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Lower Browney Valley -4.43.pdf
Raisby Way	4.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Raisby Way 4.44.pdf
Tursdale West Ponds	4.45	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Tursdale West Ponds -4.45.pdf
Running Waters Quarry	4.46	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Running Waters Quarry -4.46.pdf
Langley Park Heath	4.47	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Langley Park Heath -4.47.pdf
Finchale Priory Woods	4.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Finchale Priory Woods -4.5.pdf
North Brasside Claypit	4.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\North Brasside Claypit -4.6.pdf
Rainton Park Wood	4.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Rainton Park Wood -4.7.pdf
Moorhouse Wood	4.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Moorhouse Wood -4.8.pdf
Frankland and Kepier Woods	4.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Durham - 4\PDF\Frankland and Kepier Woods -4_9.pdf
Hesledon Moor East	5.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hesledon Moor East 5_1.pdf
Thornley Dene	5.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Thornley Dene 5_10.pdf
Heads Hope Dene	5.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Heads Hope Dene 5_11.pdf
Hazel Dene	5.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hazel Dene 5_12.pdf
Hurworth Burn Reservoir	5.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hurworth Burn Reservoir 5.13.pdf
Cold Hesledon Pond and Walkway	5.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Cold Hesledon Pond & Walkway 5_14.pdf
Hawthorn Bridge Pumping Station	5.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hawthorn Bridge Pumping  Station 5_15.pdf
Hesledon Crimdon Dene Complex	5.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hesledon-Crimdon  Dene 5_16.pdf
Seaham Dene	5.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Seaham Dene 5_17.pdf
Cowtons Pond	5.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Cowtons pond 5_18.pdf
Hart to Haswell Railway	5.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hart to Haswell Railway 5_19.pdf
Dalton Dene	5.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Dalton Dene 5_2.pdf
Loch Kenny Pond	5.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Loch Kenny Pond 5_20.pdf
Edderacres	5.21	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Edderacres 5_21.pdf
Ryhope Dene	5.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Ryhope dene 5_22.pdf
Byron's (Little Seaham) Dene	5.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Byrons dene 5_23.pdf
Pesspool Wood	5.24	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Pesspool Wood 5_24.pdf
Warren House Gill Grassland	5.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Warren House Gill 5_25.pdf
South Murton Marsh	5.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\South Murton Marsh 5_27.pdf
Cold Hesledon Meadow	5.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Cold Hesledon Meadow 5_28.pdf
Slingley Pond	5.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Slingley Pond 5_29.pdf
Duncombe Moor	5.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Duncombe Moor 5_3.pdf
Murton Bridge Carr	5.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Murton Bridge Carr 5_30.pdf
Coop House Wood	5.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Coop House Wood 5_31 plus FEN.pdf
Coop House Wood (1)	5.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Coop House Wood 5_31 plus FEN.pdf
Elemore Horseshoe Pond	5.32	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Elemore Horseshoe Pond 5_32.pdf
Haswell Wood Shotton	5.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Haswell Wood Shotton 5_33.pdf
Deaf Hill Marsh	5.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Deaf Hill Marsh 5_34.pdf
Castle Eden Pond	5.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Castle Eden Pond 5_35.pdf
Hulam Reed Swamp	5.36	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hulam Reed Swamp 5_36.pdf
Carstead Wood West	5.37	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Carstead Wood West 5_37.pdf
Hawthorn Quarry	5.38	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hawthorn Quarry 5_38.pdf
Horden Dene	5.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Horden dene 5_39.pdf
Hesledon Moor West	5.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Hesledon Moor West 5_40.pdf
Murton Grassland	5.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Murton Grassland 5_41.pdf
Deaf Hill Pond	5.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Deaf Hill Pond 5_43.pdf
Pesspool Lane Ponds	5.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Pesspoll Lane Ponds 5_44 plusBAP.pdf
Murton Meadows	5.45	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Murton Meadows 5_45.pdf
Dawdon Dene	5.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Dawdon Dene 5_5.pdf
Tuthill Quarry	5.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Tuthill Quarry 5_7.pdf
New Winning Pumping Station Pond	5.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\New Winning Pumping Station Pond 5_8.pdf
Wellfield Brick Ponds (1)	5.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Wellfield Brick Ponds 5_9.pdf
Wellfield Brick Ponds (2)	5.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Wellfield Brick Ponds 5_9.pdf
Wellfield Brick Ponds (3)	5.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Wellfield Brick Ponds 5_9.pdf
Wellfield Brick Ponds (4)	5.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Wellfield Brick Ponds 5_9.pdf
Wellfield Brick Ponds (5)	5.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Easington - 5\PDF\Wellfield Brick Ponds 5_9.pdf
South Hetton Pond	6.0	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\South Hetton Pond 6_0.pdf
Lead Spoil	6.0.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Lead Spoil_LWS_6_0_1.pdf
Low Houses Tees Bank	6.0.2	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Low Houses, Tees Bank_LWS_6_0_2.pdf"
Crook Pool Tees Bank	6.0.3	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Crook Pool, Tees Bank_LWS_6_0_3.pdf"
South Bank of Tees	6.0.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\South Bank of Tees_LWS_6_0_4.pdf
Bowlees Pasture	6.1.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Bowlees Pasture_LWS_6_1_1.pdf
Brockers Gill Meadows	6.1.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Brockers Gill Meadows_LWS_6_1_2.pdf
West Brockers Gill Meadow	6.1.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\West Brockers Gill Meadow_LWS_6_1_3.pdf
Stoneygill Meadow	6.1.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Stoneygill Meadow_LWS_6_1_4.pdf
Gordon House Meadow Pasture	6.1.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Gordon House Meadow_LWS_6_1_5.pdf
Bowser's Island	6.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Bowser's Island_LWS_6_10.pdf
Bluestone Grange Railway	6.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Bluestone Grange Railway_LWS_6_11.pdf
Whorlton Banks	6.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Whorlton Banks_LWS_6.12.pdf
High Plantation	6.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\High Plantation_LWS_6_13.pdf
Grassholme Reservoir	6.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Grassholme Reservoir_LWS_6_14.pdf
Blackton Reservoir	6.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Blackton Reservoir_LWS_6_15.pdf
How Gill	6.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\How Gill_LWS_6_16.pdf
Cote House Wood and Marsh	6.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Cote House Wood & Marsh_LWS_6_17.pdf
Red Carr Bank	6.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Red Carr Bank_LWS_6_18.pdf
Egglesburn Shingle Bank	6.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Egglesburn Shingle Bank_LWS_6_19.pdf
Brockers Gill Wood	6.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Brockers Gill Wood (Revelin Gill)_LWS_6.2.pdf
Croft Yoke Scar Wood	6.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Croft Yoke Scar Wood_LWS_6_20.pdf
Hole  Beck  Quarry	6.21	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Hole Beck Quarry_LWS_6_21.pdf
Gainford Spa Wood	6.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Gainford Spa Wood_LWS_6_22.pdf
Pallet Crag	6.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Pallet Crag_LWS_6_23.pdf
Hindon Beck	6.24	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Hindon Beck & Cowclose Wood_LWS_6_24.pdf
Hamsterley Forest	6.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Hamsterley Forest_LWS_6_25.pdf
North Carr Wood	6.26	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\North Carr Wood_LWS_6_26.pdf
Bedburn Beck and Adder Wood	6.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Bedburn Beck and Adder Wood_LWS_6_27.pdf
Crakehill Bank	6.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Crakehill Bank_LWS_6_28.pdf
Lower Linburn Valley	6.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Lower Linburn Valley_LWS_6_29.pdf
Pecknell Wood	6.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Pecknell Wood_LWS_6_3.pdf
Knitsley Fell and Quarry Pond	6.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Knitsley Fell & Quarry Pond_LWS_6_30.pdf
Cotherstone Railway	6.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Cotherstone Railway_LWS_6_31.pdf
Waskey Wood	6.32	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Waskey Wood_LWS_6_32.pdf
Lartington High Pond	6.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Lartington High Pond_LWS_6_33.pdf
Deepdale Wood	6.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Deepdale Wood_LWS_6_34.pdf
Waterman's Island	6.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Waterman's Island_LWS_6_35.pdf
Flatts Wood	6.36	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Flatts Wood_LWS_6_36.pdf
Thorsgill Wood	6.37	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Thorsgill Wood_LWS_6_37.pdf
"Teesbank Woods, Rokeby"	6.38	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Teesbank Woods, Rokeby_LWS_6_38.pdf"
Rokeby Park and Mortham Wood	6.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Rokeby Park & Mortham Wood_LWS_6_39.pdf
Great Eggleshope Beck	6.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Great Eggleshope Beck_LWS_6_4.pdf
Mickleton Pond	6.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Mickleton Pond_LWS_6_40.pdf
Redford Meadows	6.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Redford Meadows_LWS_6_41.pdf
"Cragg Wood, Evenwood"	6.43	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Cragg Wood, Evenwood_LWS_6_43.pdf"
Low Wood House Marsh	6.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Low Wood House Marsh_LWS_6_44.pdf
Gordon Beck	6.45	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Gordon Beck_LWS_6_45.pdf
Brusselton Wood	6.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Brusselton Wood_LWS_6_5.pdf
Hud Scar/Hope Scar	6.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Hud Scar_Hope Scar_LWS_6_6.pdf
Wycliffe Wood	6.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Wycliffe Wood_LWS_6_7.pdf
Bell Edge Wood	6.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Bell Edge Wood_LWS_6_8.pdf
"Teesbank Woods, Winston"	6.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Teesdale - 6\PDFs\Teesbank Woods_Winston_LWS_6_9.pdf
Rosa Shafto Woodland	7.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Rosa Shafto Woodland 7_1.pdf
Eldon Grassland	7.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Eldon Grassland 7_10.pdf
Cumby Pond	7.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Cumby Pond & plantation 7_11.pdf
Aycliffe Quarry	7.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Aycliffe Quarry 7_12.pdf
Garmondsway Moor Quarry	7.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Garmondsway Moor Quarry 7_13.pdf
Mill House Pond	7.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Mill House Pond 7_14.pdf
Middlestone Fen	7.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Middlestone Fen 7_15.pdf
Trimdon Grange and Railway	7.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Trimdon Grange and Railway7_17.pdf
New Homer Carr Plantation	7.18	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\New Homer Carr Plantation 7_18.pdf
Crookfoot Reservior	7.19	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Crookfoot Reservoir 7_19.pdf
Paddock Plantation Pond	7.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Paddock Plantation Pond  7_2.pdf
Island Farm	7.20	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Island Farm 7_20.pdf
Carr Wood New Lake and Tank Stell	7.21	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Carr Wood, New Lake and Tank Stell 7_21 Plus Fen.pdf"
Island Farm Railway	7.22	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Island Farm Railway 7_22.pdf
Ferryhill Stell and Grassland	7.23	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Ferryhill Stell and Grassland 7_23.pdf
Mill Wood	7.24	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Mill Wood 7_24.pdf
Eldon Lane Heath	7.25	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Eldon Lane Heath 7_25.pdf
North Close Marsh	7.26	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\North Close Marsh 7_26.pdf
Rough Furze Quarry	7.27	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Rough Furze Quarry 7.27.pdf
Mainsforth Pond East	7.28	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Mainsforth Pond 7_28 plus Fen.pdf
Cow Plantation	7.29	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Cow Plantation 7_29.pdf
Ferryhill Cut	7.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Ferryhill Cut 7_3.pdf
Garmondsway Triangle	7.30	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Garmondsway Triangle 7_30.pdf
Eden Grange Pond	7.31	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Eden Grange Pond 7_31.pdf
Mainsforth Recreation Complex Pond	7.32	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Mainsforth recreation complex pond 7_32 Plus Fen.pdf
Brusselton Reservoir Pond	7.33	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Brusselton reservoir pond 7_33.pdf
Shildon Sidings	7.34	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Shildon sidings 7_34.pdf
The Snipe	7.35	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\The Snipe 7_35.pdf
Trimdon Grange Pit Heap	7.36	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Trimdon Grange pit heaps 7_36.pdf
Bishop Middleham Deer Park Lake	7.38	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Bishop middleham deer park lake 7_38.pdf
Whin Houses Heath	7.39	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Whin houses heath 7_39.pdf
Bishop Middleham Pond	7.4	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Bishop Middleham Pond 7_4.pdf
Aycliffe Nature Park	7.40	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Aycliffe nature park 7_40.pdf
Bishop Middleham Roadside Lake	7.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Bishop middleham roadside lake 7_41.pdf
A1 Flashes	7.42	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\A1 Flashes 7_42.pdf
School Aycliffe Wetland	7.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\School Aycliffe Wetland 7_43.pdf
Whitworth Park Grassland	7.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Whitworth Park Grassland 7_44.pdf
Merry Knowle Quarry	7.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Merry Knowle Quarry 7_5.pdf
Cleveland Gorse	7.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Cleveland Gorse 7_6.pdf
Tursdale Ponds	7.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Tursdale Ponds 7_7.pdf
Hardwick Hall	7.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Hardwick Hall 7_8 Plus FEN.pdf
Tilery Ponds Bradbury	7.9	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Sedgefield - 7\pdf\Tilery Ponds, Bradbury 7_9 checked.pdf"
Bucks Hill Plantation	GAT 1	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT01 Bucks Hill Plantation.pdf
Hagg Hill Pasture	GAT 10	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT10 Hagg Hill Pasture.pdf
Stella Wood and Pathhead Woods	GAT 102	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT102 Stella and Path Head Woods.pdf
Dunkirk Pond (Fox's Pond)	GAT 116	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT116 Dunkirk Pond _Foxs pond_.pdf
Axwell Park and Lake	GAT 14	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT14 Axwell Park and Lake.pdf
Guards Farm Meadows	GAT 143	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 143 Guards Farm Meadows.pdf
Long Acre Dene	GAT 144	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 144 Long Acre Dene.pdf
Lamesley Reedbeds	GAT 145	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 145 Lamesley Reedbeds.pdf
Millers Wood	GAT 146	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 146 Millers Wood.pdf
Coal Burn	GAT 147	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 147 Coal Burn.pdf
Snipes Dene Head	GAT 148	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 148 Snipes Dene Head.pdf
Bowes Valley Nature Reserve	GAT 149	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 149 Bowes Valley Nature Reserve.pdf
Saltwell Park Lake	GAT 152	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT 152 SALTWELL PARK LAKE.pdf
Barlow Burn East	GAT 16	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT16 Barlow Burn East.pdf
Barlow Burn West	GAT 17	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT17 Barlow Burn West.pdf
Derwent Walk Country Park	GAT 2	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT02 Derwent Walk Country Park.pdf
Bill Quay	GAT 22	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT22 Bill Quay.pdf
Bowes Railway	GAT 24	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT24 Bowes Railway.pdf
Birtley Union Brickworks	GAT 25	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT25 Birtley Union Brickworks.pdf
Birtley Northside	GAT 26	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT26 Birtley Northside.pdf
Black Burn Meadow	GAT 27	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT27 Black Burn Meadow.pdf
Blaydon Burn	GAT 28	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT28 Blaydon Burn.pdf
Bradley Dene	GAT 29	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT29 Bradley Dene.pdf
Ryton Willows	GAT 3	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT03 Ryton Willows.pdf
Burdon Dene	GAT 30	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT30 Burdon Dene.pdf
Burdon Moor	GAT 31	Gateshead	C:\ERIC\LWS Citations\Durham\LWS Citations\Gateshead\PDF\GAT31 Burdon Moor.pdf
