SITENAME	SITEID	Local Authority	Filename including path
Middles West	1.41	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.41 Middles West.pdf
Horsleyhope Haugh	1.42	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.42 Horsleyhope Haugh.pdf
"Barn Hill Heath, Stanley"	1.43	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.43 Barn Hill Heath.pdf
"Delight Bank, Dipton"	1.44	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.44 Delight Bank.pdf
"Grove Ponds, Consett"	1.45	Durham	"C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.45 Grove Ponds and Meadow, Consett.pdf"
Harelaw Cemetary Heath	1.46	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.46 Harelaw Cemetery Heath.pdf
Brooms Pond	1.47	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.47 Brooms Pond.pdf
Greencroft	1.48	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.48 Greencroft.pdf
Hurbuck Triangle	1.49	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.49 Hurbuck Triangle v2.pdf
Hisehope Burn Wood	1.5	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.5 Hisehope Burn Wood.pdf
Ousterley Wood	1.50	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.50 Ousterely Wood.pdf
Burnhill Junction and Longburn Ford	1.51	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.51 Burnhill Junction and Longburn Ford.pdf
Priestfield Wood	1.52	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.52 Priestfield Wood.pdf
Muggleswick Common	1.6	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.6 Muggleswick Common.pdf
Horsleyhope Mill Meadow	1.7	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.7 Horsleyhope Mill Meadow.pdf
Nanny Mayers Railway	1.8	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.8 Nanny Mayer's Railway.pdf
Whitehall Moss	1.9	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Derwentside - 1\Derwentside LWS PDFs\1.9 Whitehall Moss.pdf
"Walters Wood, Ouston"	2.1	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Walter's Wood Ouston_lws_2_1.pdf
Brough's Gill Wood	2.10	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Brough's Gill Wood_lws_ 2_10 .pdf
Twizell Wood	2.11	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Twizell Wood_lws_2_11.pdf
River Team Woodlands	2.12	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\River Team Woodlands_lws_2_12.pdf
Walridge Pit Heap Pond	2.13	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Waldridge Pit Heap Pond_lws_2_13 complete.pdf
Pockerley Hill Wood	2.14	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Pockerley Hill Wood_lws_2.14.pdf
Morton Wood	2.15	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Morton Wood_lws_2_15 .pdf
Howlmire Gill	2.16	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Howlmire Gill_lws_2_16.pdf
Hermitage Woods	2.17	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Hermitage Woods_lws_2_17.pdf
Whitehill Hall woods	2.2	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Whitehill Hall Wood lws_2_2 complete.pdf
Cong Burn Wood	2.3	Durham	C:\ERIC\LWS Citations\Durham\LWS Citations\Chester-le-Street - 2\Chester-Le-Street LWS PDFs\Cong Burn Wood_lws_2_3 .pdf
